Date,Observation,Evidence
2026-04-20,Harvesting Stage | Rice In Tripura Has 60% Harvested observed | Harvest: Rice in Tripura has 60% harvested.,Minutes of the meeting of CWWG as on 20.04.2026_p1_c12
2026-04-20,Harvesting Stage | Rice In Andhra Pradesh Has 45% Harvested observed | Harvest: Rice in Andhra Pradesh has 45% harvested.,Minutes of the meeting of CWWG as on 20.04.2026_p1_c13
2026-04-20,Harvesting Stage | Rice In Telangana Has 25% Harvested observed | Harvest: Rice in Telangana has 25% harvested.,Minutes of the meeting of CWWG as on 20.04.2026_p1_c14
2026-04-27,"Sowing Stage | Sowing:  As on April 24, 2026, the area sown under summer crops is 72.30 lakh ha as compared to 70.19 lakh ha during the corresponding period of last year.  Of this, area of 30.68 lakh ha has been sown under Rice this year.
-",Minutes of the meeting of CWWG as on 27.04.2026_p1_c1
2026-04-27,"Harvesting Stage | As On 24.04.2026, 92.62% Of Area Has Been Harvested For Rabi Crops All Over  India. Approximately 99.58%  Area  Of  Pulses  Mainly  In  Gram  (100%),  Urdbean  (99%)  &Amp;  Moong  (86%);  99.50%  Area  Of Oilseeds  Majorly  In  Rapeseed  &Amp;  Mustard  (100%);  92.43%  Area  Of  Shri  Anna  Cum  Coarse  Cereals Majorly In Jowar (96.97%), 47.89% Area Of Rice And 94.00% Area Of Wheat Has Been Harvested For Rabi Crops 2025-26 observed | Harvest: As on 24.04.2026, 92.62% of area has been harvested for Rabi crops all over  India. Approximately 99.58%  area  of  Pulses  mainly  in  Gram  (100%),  Urdbean  (99%)  &amp;  Moong  (86%);  99.50%  area  of Oilseeds  majorly  in  Rapeseed  &amp;  Mustard  (100%);  92.43%  area  of  Shri  Anna  cum  Coarse  Cereals majorly in Jowar (96.97%), 47.89% area of Rice and 94.00% area of Wheat has been harvested for Rabi crops 2025-26.",Minutes of the meeting of CWWG as on 27.04.2026_p1_c2
2026-04-27,Harvesting Stage | Rice In Tamil Nadu Has 88% Harvested observed | Harvest: Rice in Tamil Nadu has 88% harvested.,Minutes of the meeting of CWWG as on 27.04.2026_p1_c11
2026-04-27,Harvesting Stage | Rice In Kerala Has 95% Harvested observed | Harvest: Rice in Kerala has 95% harvested.,Minutes of the meeting of CWWG as on 27.04.2026_p1_c12
2026-04-27,Harvesting Stage | Rice In Tripura Has 60% Harvested observed | Harvest: Rice in Tripura has 60% harvested.,Minutes of the meeting of CWWG as on 27.04.2026_p1_c13
2026-04-27,Harvesting Stage | Rice In Andhra Pradesh Has 45% Harvested observed | Harvest: Rice in Andhra Pradesh has 45% harvested.,Minutes of the meeting of CWWG as on 27.04.2026_p1_c14
2026-04-27,Harvesting Stage | Rice In Telangana Has 25% Harvested observed | Harvest: Rice in Telangana has 25% harvested.,Minutes of the meeting of CWWG as on 27.04.2026_p1_c15
2026-05-04,"Sowing Stage | Sowing:  As on May 01, 2026, the area sown under summer crops is 81.60 lakh ha as compared to 79.00 lakh ha during the corresponding period of last year.  Of this, area of 31.05 lakh ha has been sown under Rice this year.
-",Minutes of the meeting of CWWG as on 04.05.2026_p1_c1
2026-05-04,"Harvesting Stage | As On 01.05.2026, 95.25% Of Area Has Been Harvested For Rabi Crops All Over India. 100% Area Of Pulses Has Been Completed; 99.87% Area Of Oilseeds Majorly In Rapeseed &Amp; Mustard (100%); 96.22% Area Of Shri Anna Cum Coarse Cereals Majorly In Jowar (98.86%), 59.32% Area Of Rice And 97.00% Area Of Wheat Has Been Harvested For Rabi Crops 2025-26 observed | Harvest: As on 01.05.2026, 95.25% of area has been harvested for Rabi crops all over India. 100% area of Pulses has been completed; 99.87% area of Oilseeds majorly in Rapeseed &amp; Mustard (100%); 96.22% area of Shri Anna cum Coarse Cereals majorly in Jowar (98.86%), 59.32% area of Rice and 97.00% area of Wheat has been harvested for rabi crops 2025-26.",Minutes of the meeting of CWWG as on 04.05.2026_p1_c2
2026-05-04,Pest Incidence,Minutes of the meeting of CWWG as on 04.05.2026_p1_c3
2026-05-04,Harvesting Stage | Rice In Tamil Nadu Has 88% Harvested observed | Harvest: Rice in Tamil Nadu has 88% harvested.,Minutes of the meeting of CWWG as on 04.05.2026_p1_c11
2026-05-04,Harvesting Stage | Rice In Kerala Has 95% Harvested observed | Harvest: Rice in Kerala has 95% harvested.,Minutes of the meeting of CWWG as on 04.05.2026_p1_c12
2026-05-04,Harvesting Stage | Rice In Tripura Has 80% Harvested observed | Harvest: Rice in Tripura has 80% harvested.,Minutes of the meeting of CWWG as on 04.05.2026_p1_c13
2026-05-04,Harvesting Stage | Rice In Andhra Pradesh Has 65% Harvested observed | Harvest: Rice in Andhra Pradesh has 65% harvested.,Minutes of the meeting of CWWG as on 04.05.2026_p1_c14
2026-05-04,Harvesting Stage | Rice In Telangana Has 40% Harvested observed | Harvest: Rice in Telangana has 40% harvested.,Minutes of the meeting of CWWG as on 04.05.2026_p1_c15
2026-05-11,"Sowing Stage | Sowing:  As on May 08, 2026, the area sown under summer crops is 83.08 lakh ha as compared to 80.01 lakh ha during the corresponding period of last year.  Of this, area of 31.05 lakh ha has been sown under Rice this year.
-",Minutes of the meeting of CWWG as on 11.05.2026_p1_c1
2026-05-11,"Harvesting Stage | As On 08.05.2026, 96.36% Of Area Has Been Harvested For Rabi Crops All Over India. 100% Area Of Pulses Has Been Completed; 99.87% Area Of Oilseeds Majorly In Rapeseed &Amp; Mustard (100%); 98.02% Area Of Shri Anna Cum Coarse Cereals Majorly In Jowar (99.66%), 65.70% Area Of Rice And 98.00% Area Of Wheat Has Been Harvested For Rabi Crops 2025-26 observed | Harvest: As on 08.05.2026, 96.36% of area has been harvested for Rabi crops all over India. 100% area of Pulses has been completed; 99.87% area of Oilseeds majorly in Rapeseed &amp; Mustard (100%); 98.02% area of Shri Anna cum Coarse Cereals majorly in Jowar (99.66%), 65.70% area of Rice and 98.00% area of Wheat has been harvested for rabi crops 2025-26.",Minutes of the meeting of CWWG as on 11.05.2026_p1_c2
2026-05-11,Harvesting Stage | Rice In Tamil Nadu Has 89% Harvested observed | Harvest: Rice in Tamil Nadu has 89% harvested.,Minutes of the meeting of CWWG as on 11.05.2026_p1_c9
2026-05-11,Harvesting Stage | Rice In Kerala Has 97% Harvested observed | Harvest: Rice in Kerala has 97% harvested.,Minutes of the meeting of CWWG as on 11.05.2026_p1_c10
2026-05-11,Harvesting Stage | Rice In Andhra Pradesh Has 70% Harvested observed | Harvest: Rice in Andhra Pradesh has 70% harvested.,Minutes of the meeting of CWWG as on 11.05.2026_p1_c11
2026-05-11,Harvesting Stage | Rice In Telangana Has 50% Harvested observed | Harvest: Rice in Telangana has 50% harvested.,Minutes of the meeting of CWWG as on 11.05.2026_p1_c12
2026-05-18,"Sowing Stage | Sowing:  As on May 15, 2026, the area sown under summer crops is 83.08 lakh ha as compared to 80.01 lakh ha during the corresponding period of last year.  Of this, area of 31.05 lakh ha has been sown under Rice this year. There is also an increase in the area sown under Maize by about 1.50 lakh ha so far from the last 5-years average.
-",Minutes of the meeting of CWWG as on 18.05.2026_p1_c1
2026-05-18,"Harvesting Stage | As On 15.05.2026, 96.86% Of Area Has Been Harvested For Rabi Crops All Over India. Pulses Harvest Has Been Completed; 99.87% Area Of Oilseeds- Majorly In Rapeseed &Amp; Mustard (100%); 98.62% Area Of Shri Anna Cum Coarse Cereals- Majorly In Jowar (99.66%), 72.70% Area Of Rice And 98.80% Area Of Wheat Has Been Harvested For Rabi Crops 2025-26 observed | Harvest: As on 15.05.2026, 96.86% of area has been harvested for Rabi crops all over India. Pulses harvest has been completed; 99.87% area of Oilseeds- majorly in Rapeseed &amp; Mustard (100%); 98.62% area of Shri Anna cum Coarse Cereals- majorly in Jowar (99.66%), 72.70% area of Rice and 98.80% area of Wheat has been harvested for Rabi crops 2025-26.",Minutes of the meeting of CWWG as on 18.05.2026_p1_c2
2026-05-18,Harvesting Stage | Rice In Tamil Nadu Has 90% Harvested observed | Harvest: Rice in Tamil Nadu has 90% harvested.,Minutes of the meeting of CWWG as on 18.05.2026_p1_c8
2026-05-18,Harvesting Stage | Rice In Kerala Has 98% Harvested observed | Harvest: Rice in Kerala has 98% harvested.,Minutes of the meeting of CWWG as on 18.05.2026_p1_c9
2026-05-18,Harvesting Stage | Rice In Andhra Pradesh Has 75% Harvested observed | Harvest: Rice in Andhra Pradesh has 75% harvested.,Minutes of the meeting of CWWG as on 18.05.2026_p1_c10
2026-05-18,Harvesting Stage | Rice In Telangana Has 52% Harvested observed | Harvest: Rice in Telangana has 52% harvested.,Minutes of the meeting of CWWG as on 18.05.2026_p1_c11
2026-05-25,"Harvesting Stage | Harvest:  As on May 22, 2026, the area sown under summer crops is 86.02 lakh ha as compared to 83.50 lakh ha during the corresponding period of last year.  Of this, area of 31.05 lakh ha has been sown under Rice this year. There is also an increase in the area sown under Maize by about 1.50 lakh ha so far from the last 5-years average.
-
As on 22.05.2026, 97.92% of area  has  been  harvested  for  Rabi  crops  all  over  India.  The  harvest  of pulses,  oilseeds,  and  Shri  Anna-cum-coarse  cereals  has  been  completed;  79.71%  area  of  Rice  and 99.50% area of Wheat has been harvested for Rabi crops 2025-26.",Minutes of the meeting of CWWG as on 25.05.2026_p1_c1
2026-05-25,Harvesting Stage | Rice In Tamil Nadu Has 90% Harvested observed | Harvest: Rice in Tamil Nadu has 90% harvested.,Minutes of the meeting of CWWG as on 25.05.2026_p1_c7
2026-05-25,Harvesting Stage | Rice In Kerala Has 98% Harvested observed | Harvest: Rice in Kerala has 98% harvested.,Minutes of the meeting of CWWG as on 25.05.2026_p1_c8
2026-05-25,Harvesting Stage | Rice In Andhra Pradesh Has 75% Harvested observed | Harvest: Rice in Andhra Pradesh has 75% harvested.,Minutes of the meeting of CWWG as on 25.05.2026_p1_c9
2026-05-25,Harvesting Stage | Rice In Telangana Has 75% Harvested observed | Harvest: Rice in Telangana has 75% harvested.,Minutes of the meeting of CWWG as on 25.05.2026_p1_c10
2026-06-01,"Harvesting Stage | Harvest:  As  per  3 rd Advance  Estimates  2025-26,  the  area  sown  under  the  summer  crops  is  87.26  lakh  ha  as compared to 83.91 lakh ha during the corresponding period of last year. As compared to previous year, Rice area declined by 0.65 lakh ha whereas, Maize area increased by 2.08 lakh ha, Groundnut by 1.03 lakh ha, Urad by 0.76 lakh ha and Shree Anna by 0.70 lakh ha.
-
As on 01.06.2026, rabi crops harvesting has been completed in all states.",Minutes of the meeting of CWWG as on 01.06.2026_p1_c1
