Sl. No.,Title,Publish Date,Details,PDF Link
71,Minutes of the meeting of CWWG as on 03.02.2025,03-02-2025,Download (1.66MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_weeklyReport_03022025.pdf
72,Minutes of the meeting of CWWG as on 27.01.2025,27-01-2025,Download (1.49MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_WeeklyReport_27012025_revised.pdf
73,Minutes of the meeting of CWWG as on 20.01.2025,20-01-2025,Download (1.24MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_WeeklyReport_20012025.pdf
74,Minutes of the meeting of CWWG as on 13.01.2025,13-01-2025,Download (853KB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_WeeklyReport_13012025.pdf
75,Minutes of the meeting of CWWG as on 06.01.2025,06-01-2025,Download (1.12MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_WeeklyReport_06012025.pdf
76,Minutes of the meeting of CWWG as on 30.12.2024,30-12-2024,Download (405KB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_WeeklyReport_30122024.pdf
77,Minutes of the meeting of CWWG as on 24.12.2024,24-12-2024,Download (2.31MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWGWeeklyReport_24122024.pdf
78,Minutes of the meeting of CWWG as on 16.12.2024,16-12-2024,Download (1.56MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_16122024.doc
79,Minutes of the meeting of CWWG as on 09.12.2024,09-12-2024,Download (1.49MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_WeeklyReport_09122024.doc
80,Minutes of the meeting of CWWG as on 02.12.2024,02-12-2024,Download (1.49MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_WeeklyReport_02122024.doc
81,Minutes of the meeting of CWWG as on 25.11.2024,25-11-2024,Download (1.15MB),https://agriwelfare.gov.in/Documents/CWWGMINUTES/CWWG_WeeklyReport_25112024.doc
82,Minutes of the meeting of CWWG as on 18.11.2024,18-11-2024,Download (1.00MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_WeeklyReport_18112024.doc
83,Minutes of the meeting of CWWG as on 11.11.2024,20-11-2024,Download (1.02MB),https://agriwelfare.gov.in/Documents/CWWGDATA/revised_mom_0.doc
84,Minutes of the meeting of CWWG as on 04.11.2024,08-11-2024,Download (1.15MB),https://agriwelfare.gov.in/Documents/CWWGDATA/mom_2_0.doc
85,Minutes of the meeting of CWWG as on 28.10.2024,06-11-2024,Download (1.3MB),https://agriwelfare.gov.in/Documents/CWWGDATA/mom_ml_0.doc
86,Minutes of the meeting of CWWG as on 14.10.2024,16-10-2024,Download (1.05MB),https://agriwelfare.gov.in/Documents/CWWGDATA/MOM_14_0.doc
87,Minutes of CWWG meeting as on 30.09.2024,07-10-2024,Download (1.65MB),https://agriwelfare.gov.in/Documents/CWWGDATA/cg_0.pdf
88,Minutes of the meeting of CWWG as on 09.09.2024,17-09-2024,Download (70.11KB),https://agriwelfare.gov.in/Documents/CWWGDATA/cwwg_latest_0.pdf
89,Minutes of the meeting of CWWG as on 02.09.2024,06-09-2024,Download (64.95KB),https://agriwelfare.gov.in/Documents/CWWGDATA/C23_0.pdf
90,Minutes of the meeting of CWWG as on 27.08.2024,02-09-2024,Download (61.99KB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG2_0.pdf
91,Minutes of the meeting of CWWG as on 20.08.2024,23-08-2024,Download (54.84KB),https://agriwelfare.gov.in/Documents/CWWGDATA/m1_0.pdf
92,Minutes of the meeting of CWWG as on 12.08.2024,21-08-2024,Download (1.36MB),https://agriwelfare.gov.in/Documents/CWWGDATA/189_0.doc
93,Minutes of the meeting of CWWG as on 05.08.2024,12-08-2024,Download (1.02MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_05082024_0.doc
94,Minutes of the meeting of CWWG as on 29.07.2024,05-08-2024,Download (1.13MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_29072024_0.doc
95,Minutes of the meeting of CWWG as on 22.07.2024,29-07-2024,Download (1.33MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_42_0.pdf
96,Minutes of the meeting of CWWG as on 15.07.2024,24-07-2024,Download (930.5KB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_0.doc
97,Minutes of the meeting of CWWG as on 01.07.2024,05-07-2024,Download (1.78MB),https://agriwelfare.gov.in/Documents/CWWGDATA/mom2_1.doc
98,Minutes of the meeting of CWWG as on 24.06.2024,27-06-2024,Download (1.15MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_24062024_2.doc
99,Minutes of the meeting of CWWG as on 18.06.2024,24-06-2024,Download (1.06MB),https://agriwelfare.gov.in/Documents/CWWGMINUTES/CWWG_Minutes_18062024.doc
100,Minutes of the meeting of CWWG as on 10.06.2024,13-06-2024,Download (1.09MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_10062024_0.doc
101,Minutes of the meeting of CWWG as on 03.06.2024,10-06-2024,Download (1.08MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_03062024_0.doc
102,Minutes of the meeting of CWWG as on 27.05.2024,05-06-2024,Download (1.29MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_27052024_0.doc
103,Minutes of the meeting of CWWG as on 13.05.2024,17-05-2024,Download (1.08MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Minutes_as_on_13052024_0.doc
104,Minutes of the meeting of CWWG as on 06.05.2024,14-05-2024,Download (1.07MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Minutes_as_on_06052024_0.doc
105,Minutes of the meeting of CWWG as on 29.04.2024,02-05-2024,Download (1.28MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_29042024_0.pdf
106,Minutes of the meeting of CWWG as on 15.04.2024,18-04-2024,Download (1.25MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_15042024_0.pdf
107,Minutes of the meeting of CWWG as on 08.04.2024,12-04-2024,Download (1.06MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Minutes_as_on_08042024_0.doc
108,Minutes of the meeting of CWWG as on 01.04.2024,02-04-2024,Download (1.06MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Minutes_as_on_01042024_0.doc
109,Minutes of the meeting of CWWG as on 18.03.2024,22-03-2024,Download (924.16KB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_18032024_0.pdf
110,Minutes of the meeting of CWWG as on 04.03.2024.,07-03-2024,Download (1.08MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_04032024_0.pdf
111,Minutes of the meeting of CWWG as on 12.02.2024.,15-02-2024,Download (1.04MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Minutes_as_on_12022024_0.pdf
112,Minutes of the meeting of CWWG as on 05.02.2024.,07-02-2024,Download (1.36MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Minutes_as_on_05022024_0.pdf
113,Minutes of the meeting of CWWG as on 22.01.2024.,24-01-2024,Download (1.25MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Minutes_as_on_22012024_0.pdf
114,Minutes of the meeting of CWWG as on 15.01.2024,16-01-2024,Download (1.27MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Minutes_as_on_15012024_0.pdf
115,Minutes of the meeting of CWWG as on 08.01.2024,10-01-2024,Download (1.27MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Minutes_as_on_08012024_2.pdf
116,Minutes of the meeting of CWWG as on 02.01.2024,04-01-2024,Download (1.23MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Minutes_as_on_02012024_0.pdf
117,Minutes of the Meeting of CWWG as on 04.12.2023,05-12-2023,Download (1.53MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Minutes_as_on_04122023_0.pdf
118,Minutes of the meeting of CWWG as on 30.10.2023,01-11-2023,Download (1.1MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Minutes_as_on30102023_0.pdf
119,Minutes of the meeting of CWWG as on 23.10.2023,26-10-2023,Download (1.09MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Minutes_as_on_23102023_0.pdf
120,Minutes of the Meeting of CWWG as on 16.10.2023,17-10-2023,Download (1.24MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Minutes_as_on_16102023_0.pdf
121,Minutes of the Meeting of CWWG as on 09.10.2023,11-10-2023,Download (1.11MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Minutes_as_on_09102023_4.pdf
122,Minutes of the meeting of CWWG as on 03.10.2023,05-10-2023,Download (1.08MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Minutes_as_on_03102023_0.pdf
123,Minutes of the meeting of CWWG as on 18.09.2023,19-09-2023,Download (1.19MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Minutes_as_on_18092023_0.pdf
124,Minutes of the meeting of CWWG as on 13.09.2023,14-09-2023,Download (1.21MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Minutes_as_on_13092023_0.pdf
125,Minutes of the meeting of CWWG as on 04.09.2023,06-09-2023,Download (1.98MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Minutes_as_on_04092023_2.pdf
126,Minutes of the meeting of CWWG as on 28.08.2023,30-08-2023,Download (1.18MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Minutes_as_on_28082023_0.pdf
127,Minutes of the meeting of CWWG as on 31.07.2023,01-08-2023,Download (1022.98KB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Minutes_as_on_31072023_0.pdf
128,Minutes of the meeting of CWWG as on 24.07.2023,25-07-2023,Download (1.25MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Minutes_as_on_24072023_0.pdf
129,Minutes of the meeting of CWWG as on 17.07.2023.,19-07-2023,Download (1.17MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Minutes_as_on_17072023_0.pdf
130,Minutes of the meeting of CWWG as on 10.07..2023,11-07-2023,Download (1.16MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Minutes_as_on_10072023_0.pdf
131,Minutes of the Meeting of CWWG as on 03.07..2023,04-07-2023,Download (1.29MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Minutes_as_on_03072023_0.pdf
132,Minutes of the meeting of CWWG as on 20.05.2024,22-05-2024,Download (1.28MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_20052024_0.doc
133,Minutes of the meeting of CWWG as on 22.04.2024,25-04-2024,Download (1.08MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Minutes_as_on_22042024_0.doc
134,Minutes of the meeting of CWWG as on 11.03.2024,14-03-2024,Download (1.09MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_11032024_0.doc
135,Minutes of the meeting of CWWG as on 19.02.2024.,21-02-2024,Download (1.13MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Minutes_as_on_19022024_0.doc
136,Minutes of the meeting of CWWG as on 18.12.2023,19-12-2023,Download (1.51MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Minutes_as_on_18122023_0.pdf
137,Minutes of the meeting of CWWG as on 11.12.2023,12-12-2023,Download (1.46MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Minutes_as_on_11122023_0.pdf
138,Minutes of the Meeting of CWWG as on 28.11.2023,29-11-2023,Download (1.43MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_28112023_0.pdf
139,Minutes of the Meeting of CWWG as on 06.11.2023,08-11-2023,Download (1.09MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Minutes_as_on_06112023_0.pdf
140,Minutes of the meeting of CWWG as on 25.09.2023,26-09-2023,Download (1.21MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Minutes_as_on_25092023_0.pdf
