Date,Observation,Evidence
2026-01-27,There Is No Major Pest Incidence That Has Been Reported. The Overall Intensity Of Pests And Diseases Remained Below The Economic Threshold Level observed,Minutes of the meeting of CWWG as on 27.01.2026_p1_c5
2026-02-16,Area Coverage,Minutes of the meeting of CWWG as on 16.02.2026_p1_c3
2026-02-16,There Is No Major Pest Incidence That Has Been Reported. The Overall Intensity Of Pests And Diseases Remained Below The Economic Threshold Level observed,Minutes of the meeting of CWWG as on 16.02.2026_p1_c4
2026-02-23,Area Coverage,Minutes of the meeting of CWWG as on 23.02.2026_p1_c1
2026-02-23,"Sowing Stage | Sowing: Progress of Area coverage under Summer crops as on 20.02.2026
Area: In lakh hectare
|         |              |   Normal Summer Area (DES)* | Final Summer Area 2025   | Area Sown           | Area Sown                                |   Increase/ Decrease over corresponding period of Last year |
|---------|--------------|-----------------------------|--------------------------|---------------------|------------------------------------------|-------------------------------------------------------------|
| Sl. No. | Crops        |                             |                          | Current Year (2026) | Corresponding period of Last Year (2025) |                                                             |
| 1       | Rice         |                       31.49 | 33.28                    | 17.78               | 17.78                                    |                                                        0.00 |
| 2       | Pulses       |                       23.40 | 27.07                    | 0.91                | 0.76                                     |                                                        0.15 |
| a       | Greengram    |                       20.44 | 23.49                    | 0.59                | 0.56                                     |                                                        0.03 |
| b       | Blackgram    |                        2.96 | 3.58                     | 0.25                | 0.19                                     |                                                        0.06 |
| c       | Other Pulses |                        0.00 |
| 0.07                | 0.01                                     |                                                        0.06 |
| 3     | Shree Anna cum Coarse Cereals   |   12.08 | 14.06   |   1.38 |   1.08 |   0.30 |
|-------|---------------------------------|---------|---------|--------|--------|--------|
| a     | Jowar                           |    0.34 | 0.36    |   0.04 |   0.03 |   0.02 |
| b     | Bajra                           |    4.43 | 5.20    |   0.12 |   0.14 |
0.03 |
| c     | Ragi                            |    0.31 |
|   0.15 |   0.02 |   0.13 |
| d     | Small Millets                   |    0.02 |
|   0.01 |   0.00 |   0.01 |
| e     | Maize                           |    6.98 | 8.50    |   1.06 |   0.89 |   0.17 |
| 4     | Oilseeds                        |    8.40 | 9.51    |   1.24 |   0.77 |   0.46 |
| a     | Groundnut                       |    3.40 | 4.20    |   1.04 |   0.60 |   0.44 |
| b     | Sunflower                       |    0.34 | 0.35    |   0.07 |   0.06 |   0.01 |
| c     | Sesamum                         |    4.66 | 4.96    |   0.12 |   0.12 |   0.00 |
| d     | Other Oilseeds                  |    0.00 |
|   0.01 |   0.00 |   0.01 |
| Total | Total                           |   75.37 | 83.92   |  21.30 |  20.38 |   0.92 |",Minutes of the meeting of CWWG as on 23.02.2026_p1_c2
2026-03-02,Area Coverage,Minutes of the meeting of CWWG as on 02.03.2026_p1_c6
2026-03-02,"Sowing Stage | Sowing: Progress of Area coverage under Summer crops as on 27.02.2026
Area: In lakh hectare
|         |                               | Normal             | Final Summer Area 2025   | Area Sown           | Area Sown                                |   Increase/ Decrease over corresponding period of Last year |
|---------|-------------------------------|--------------------|--------------------------|---------------------|------------------------------------------|-------------------------------------------------------------|
| Sl. No. | Crops                         | Summer Area (DES)* |                          | Current Year (2026) | Corresponding period of Last Year (2025) |                                                             |
| 1       | Rice                          | 31.49              | 33.28                    | 21.80               | 23.45                                    |
1.64 |
| 2       | Pulses                        | 23.40              | 27.07                    | 1.15                | 1.03                                     |                                                        0.12 |
| a       | Greengram                     | 20.44              | 23.49                    | 0.73                | 0.70                                     |                                                        0.03 |
| b       | Blackgram                     | 2.96               | 3.58                     | 0.32                | 0.30                                     |                                                        0.01 |
| c       | Other Pulses                  | 0.00               |
| 0.11                | 0.03                                     |                                                        0.08 |
| 3       | Shree Anna cum Coarse Cereals | 12.08              | 14.06                    | 1.88                | 1.68                                     |                                                        0.20 |
| a       | Jowar                         | 0.34               | 0.36                     | 0.06                | 0.04                                     |                                                        0.02 |
| b       | Bajra                         | 4.43               | 5.20                     | 0.31                | 0.21                                     |                                                        0.10 |
| c       | Ragi                          | 0.31               |
| 0.17                | 0.05                                     |                                                        0.11 |
| d       | Small Millets                 | 0.02               |
| 0.02                | 0.01                                     |                                                        0.01 |
| e       | Maize                         | 6.98               | 8.50                     | 1.33                | 1.36                                     |
0.04 |
| 4       | Oilseeds                      | 8.40               | 9.51                     | 1.69                | 1.26                                     |                                                        0.43 |
| a       | Groundnut                     | 3.40               | 4.20                     | 1.33                | 1.02                                     |                                                        0.30 |
| b     | Sunflower      |   0.34 | 0.35   |   0.07 |   0.06 |   0.01 |
|-------|----------------|--------|--------|--------|--------|--------|
| c     | Sesamum        |   4.66 | 4.96   |   0.26 |   0.17 |   0.09 |
| d     | Other Oilseeds |   0.00 |
|   0.03 |   0.01 |   0.02 |
| Total | Total          |  75.37 | 83.92  |  26.53 |  27.42 |
0.89 |",Minutes of the meeting of CWWG as on 02.03.2026_p1_c7
2026-03-02,Other,Minutes of the meeting of CWWG as on 02.03.2026_p1_c8
2026-03-09,Area Coverage,Minutes of the meeting of CWWG as on 09.03.2026_p1_c1
2026-03-09,Other,Minutes of the meeting of CWWG as on 09.03.2026_p1_c2
2026-03-16,Area Coverage,Minutes of the meeting of CWWG as on 16.03.2026_p1_c3
2026-03-16,"Sowing Stage | Sowing: Progress of Area coverage under Summer crops as on 13.03.2026
Area: In lakh hectare
| Sl. No.   |                               | Normal Summer Area   | Final Summer Area 2025   | Area Sown           | Area Sown                                | Increase/ Decrease over corresponding period of Last year   |
|-----------|-------------------------------|----------------------|--------------------------|---------------------|------------------------------------------|-------------------------------------------------------------|
| Sl. No.   | Crops                         | (DES)*               | Final Summer Area 2025   | Current Year (2026) | Corresponding period of Last Year (2025) | Increase/ Decrease over corresponding period of Last year   |
| 1         | Rice                          | 31.49                | 33.28                    | 26.75               | 27.97                                    |
1.22                                                       |
| 2         | Pulses                        | 23.40                | 27.07                    | 2.25                | 1.74                                     | 0.51                                                        |
| a         | Greengram                     | 20.44                | 23.49                    | 1.33                | 1.09                                     | 0.23                                                        |
| b         | Blackgram                     | 2.96                 | 3.58                     | 0.71                | 0.51                                     | 0.20                                                        |
| c         | Other Pulses                  | 0.00                 |
| 0.21                | 0.13                                     | 0.08                                                        |
| 3         | Shree Anna cum Coarse Cereals | 12.08                | 14.06                    | 4.14                | 4.41                                     |
0.26                                                       |
| a         | Jowar                         | 0.34                 | 0.36                     | 0.15                | 0.25                                     |
0.10                                                       |
| b         | Bajra                         | 4.43                 | 5.20                     | 0.83                | 0.84                                     |
0.02                                                       |
| c         | Ragi                          | 0.31                 |
| 0.19                | 0.11                                     | 0.08                                                        |
| d         | Small Millets                 | 0.02                 |
| 0.02                | 0.02                                     | 0.00                                                        |
| e         | Maize                         | 6.98                 | 8.50                     | 2.96                | 3.19                                     |
0.22                                                       |
| 4         | Oilseeds                      | 8.40                 | 9.51                     | 3.08                | 3.13                                     |
0.06                                                       |
| a         | Groundnut                     | 3.40                 | 4.20                     | 2.00                | 2.04                                     |
0.04                                                       |
| b         | Sunflower                     | 0.34                 | 0.35                     | 0.24                | 0.20                                     | 0.03                                                        |
| c         | Sesamum                       | 4.66                 | 4.96                     | 0.80                | 0.84                                     |
0.04                                                       |
| d         | Other Oilseeds                | 0.00                 |
| 0.04                | 0.05                                     |
0.01                                                       |
| Total     | Total                         | 75.37                | 83.92                    | 36.22               | 37.25                                    |
1.03                                                       |",Minutes of the meeting of CWWG as on 16.03.2026_p1_c4
2026-03-16,Other,Minutes of the meeting of CWWG as on 16.03.2026_p1_c5
2026-03-30,Area Coverage,Minutes of the meeting of CWWG as on 30.03.2026_p1_c5
2026-03-30,"Harvesting Stage | Harvest: | g   | Other Oilseeds     |    0.00 |    0.40 |   33.35 | Harvesting is going on.                                                                                                                                                                        |
|     | Total Crops        |  637.81 |  676.84 |   32.26 |                                                                                                                                                                                                |
Source: Crop Division, DoA&amp;FW.",Minutes of the meeting of CWWG as on 30.03.2026_p1_c98
2026-04-06,"Harvesting Stage | Harvest: | g  | Other Oilseeds |   0.00 |   0.40 | 68.57 | Harvesting is going on.                                                                                                              |
|    | Total Crops    | 637.81 | 676.84 | 48.34 |                                                                                                                                      |
Source: Crop Division, DoA&amp;FW.",Minutes of the meeting of CWWG as on 06.04.2026_p1_c103
2026-04-13,"Sowing Stage | Sowing:  Rice : About 30.59 lakh ha area coverage under Summer Rice has been reported as compared to 32.30 lakh ha during the corresponding period of last year.
-
Pulses :  About 11.54 lakh ha area coverage has been reported compared to 10.71 lakh ha during the corresponding period of last year.
-
Oilseeds :  About 8.31 lakh ha area coverage has been reported compared to 7.62 lakh ha during the corresponding period of last year.
| Progress of Area coverage under Summer crops as on 10.04.2026   | Progress of Area coverage under Summer crops as on 10.04.2026   | Progress of Area coverage under Summer crops as on 10.04.2026   | Progress of Area coverage under Summer crops as on 10.04.2026   | Progress of Area coverage under Summer crops as on 10.04.2026   | Progress of Area coverage under Summer crops as on 10.04.2026   | Progress of Area coverage under Summer crops as on 10.04.2026               |
|-----------------------------------------------------------------|-----------------------------------------------------------------|-----------------------------------------------------------------|-----------------------------------------------------------------|-----------------------------------------------------------------|-----------------------------------------------------------------|-----------------------------------------------------------------------------|
| Sl. No.                                                         |                                                                 | Normal Summer Area (DES)*                                       | Final Summer Area 2025                                          | Area Sown                                                       | Area Sown                                                       | (In lakh hectare) Increase/ Decrease over corresponding period of Last year |
| Sl. No.                                                         | Crops                                                           | Normal Summer Area (DES)*                                       | Final Summer Area 2025                                          | Current Year (2026)                                             | Corresponding period of Last Year (2025)                        | (In lakh hectare) Increase/ Decrease over corresponding period of Last year |
| 1                                                               | Rice                                                            | 31.49                                                           | 33.28                                                           | 30.59                                                           | 32.30                                                           |
1.72                                                                       |
| 2                                                               | Pulses                                                          | 23.40                                                           | 27.07                                                           | 11.54                                                           | 10.71                                                           | 0.83                                                                        |
| a                                                               | Greengram                                                       | 20.44                                                           | 23.49                                                           | 8.47                                                            | 8.15                                                            | 0.33                                                                        |
| b                                                               | Blackgram                                                       | 2.96                                                            | 3.58                                                            | 2.78                                                            | 2.38                                                            | 0.40                                                                        |
| c                                                               | Other Pulses                                                    | 0.00                                                            |
| 0.29                                                            | 0.18                                                            | 0.11                                                                        |
| 3                                                               | Shree Anna cum Coarse Cereals                                   | 12.08                                                           | 14.06                                                           | 13.67                                                           | 12.70                                                           | 0.97                                                                        |
| a                                                               | Jowar                                                           | 0.34                                                            | 0.36                                                            | 0.37                                                            | 0.36                                                            | 0.01                                                                        |
| b                                                               | Bajra                                                           | 4.43                                                            | 5.20                                                            | 4.60                                                            | 4.30                                                            | 0.30                                                                        |
| c                                                               | Ragi                                                            | 0.31                                                            |
| 0.21                                                            | 0.16                                                            | 0.05                                                                        |
| d                                                               | Small Millets                                                   | 0.02                                                            |
| 0.03                                                            | 0.03                                                            | 0.00                                                                        |
| e                                                               | Maize                                                           | 6.98                                                            | 8.50                                                            | 8.46                                                            | 7.85                                                            | 0.61                                                                        |
| 4                                                               | Oilseeds                                                        | 8.40                                                            | 9.51                                                            | 8.31                                                            | 7.62                                                            | 0.69                                                                        |
| a                                                               | Groundnut                                                       | 3.40                                                            | 4.20                                                            | 4.77                                                            | 4.20                                                            | 0.57                                                                        |
| b                                                               | Sunflower                                                       | 0.34                                                            | 0.35                                                            | 0.39                                                            | 0.35                                                            | 0.03                                                                        |
| c                                                               | Sesamum                                                         | 4.66                                                            | 4.96                                                            | 3.09                                                            | 3.00                                                            | 0.10                                                                        |
| d                                                               | Other Oilseeds                                                  | 0.00                                                            |
| 0.05                                                            | 0.06                                                            |
0.01                                                                       |
| Total                                                           | Total                                                           | 75.37                                                           | 83.92                                                           | 64.10                                                           | 63.33                                                           | 0.77                                                                        |
Source: Crop Division, DoA&amp;FW, MoA&amp;FW",Minutes of the meeting of CWWG as on 13.04.2026_p1_c4
2026-04-13,"Harvesting Stage | Harvest: | g   | Other Oilseeds |   0.00 |   0.40 |   95.82 | Harvesting is going on in afull swing.                                                                          |
|     | Total Crops    | 637.81 | 680.18 |   73.83 |                                                                                                                 |
Source: Crop Division, DoA&amp;FW.",Minutes of the meeting of CWWG as on 13.04.2026_p1_c77
2026-04-20,"Sowing Stage | Sowing:  Rice : About 30.64 lakh ha area coverage under Summer Rice has been reported as compared to 32.31 lakh ha during the corresponding period of last year.
-
Pulses :  About 15.47 lakh ha area coverage has been reported compared to 13.49 lakh ha during the corresponding period of last year.
-
Oilseeds :  About 9.14 lakh ha area coverage has been reported compared to 7.65 lakh ha during the corresponding period of last year.
| Progress of Area coverage under Summer crops as on 17.04.2026 hectare)   | Progress of Area coverage under Summer crops as on 17.04.2026 hectare)   | Progress of Area coverage under Summer crops as on 17.04.2026 hectare)   | Progress of Area coverage under Summer crops as on 17.04.2026 hectare)   | Progress of Area coverage under Summer crops as on 17.04.2026 hectare)   | Progress of Area coverage under Summer crops as on 17.04.2026 hectare)   | Progress of Area coverage under Summer crops as on 17.04.2026 hectare)   |
|--------------------------------------------------------------------------|--------------------------------------------------------------------------|--------------------------------------------------------------------------|--------------------------------------------------------------------------|--------------------------------------------------------------------------|--------------------------------------------------------------------------|--------------------------------------------------------------------------|
| Sl. No.                                                                  | Crops                                                                    | Normal Summer Area (DES)*                                                | Final Summer Area 2025                                                   | Area Sown                                                                | Area Sown                                                                | (In lakh Increase/ Decrease over corresponding period of Last year       |
| Sl. No.                                                                  | Crops                                                                    | Normal Summer Area (DES)*                                                | Final Summer Area 2025                                                   | Current Year (2026)                                                      | Corresponding period of Last Year (2025)                                 | (In lakh Increase/ Decrease over corresponding period of Last year       |
| 1                                                                        | Rice                                                                     | 31.49                                                                    | 33.28                                                                    | 30.64                                                                    | 32.31                                                                    |
1.66                                                                    |
| 2                                                                        | Pulses                                                                   | 23.40                                                                    | 27.07                                                                    | 15.47                                                                    | 13.49                                                                    | 1.99                                                                     |
| a                                                                        | Greengram                                                                | 20.44                                                                    | 23.49                                                                    | 11.73                                                                    | 10.69                                                                    | 1.04                                                                     |
| b                                                                        | Blackgram                                                                | 2.96                                                                     | 3.58                                                                     | 3.45                                                                     | 2.61                                                                     | 0.83                                                                     |
| c                                                                        | Other Pulses                                                             | 0.00                                                                     |
| 0.30                                                                     | 0.18                                                                     | 0.11                                                                     |
| 3                                                                        | Shree Anna cum Coarse Cereals                                            | 12.08                                                                    | 14.06                                                                    | 13.81                                                                    | 12.70                                                                    | 1.10                                                                     |
| a                                                                        | Jowar                                                                    | 0.34                                                                     | 0.36                                                                     | 0.37                                                                     | 0.36                                                                     | 0.01                                                                     |
| b                                                                        | Bajra                                                                    | 4.43                                                                     | 5.20                                                                     | 4.74                                                                     | 4.30                                                                     | 0.43                                                                     |
| c                                                                        | Ragi                                                                     | 0.31                                                                     |
| 0.21                                                                     | 0.16                                                                     | 0.05                                                                     |
| d                                                                        | Small Millets                                                            | 0.02                                                                     |
| 0.03                                                                     | 0.03                                                                     | 0.00                                                                     |
| e                                                                        | Maize                                                                    | 6.98                                                                     | 8.50                                                                     | 8.46                                                                     | 7.85                                                                     | 0.61                                                                     |
| 4                                                                        | Oilseeds                                                                 | 8.40                                                                     | 9.51                                                                     | 9.14                                                                     | 7.65                                                                     | 1.49                                                                     |
| a                                                                        | Groundnut                                                                | 3.40                                                                     | 4.20                                                                     | 5.51                                                                     | 4.20                                                                     | 1.31                                                                     |
| b                                                                        | Sunflower                                                                | 0.34                                                                     | 0.35                                                                     | 0.39                                                                     | 0.35                                                                     | 0.04                                                                     |
| c                                                                        | Sesamum                                                                  | 4.66                                                                     | 4.96                                                                     | 3.18                                                                     | 3.03                                                                     | 0.15                                                                     |
| d                                                                        | Other Oilseeds                                                           | 0.00                                                                     |
| 0.06                                                                     | 0.06                                                                     |
0.01                                                                    |
| Total                                                                    | Total                                                                    | 75.37                                                                    | 83.92                                                                    | 69.06                                                                    | 66.14                                                                    | 2.92                                                                     |
Source: Crops Division, DoA&amp;FW, MoA&amp;FW",Minutes of the meeting of CWWG as on 20.04.2026_p1_c4
2026-04-20,"Harvesting Stage | Harvest: | g   | Other Oilseeds     |    0.00 |    0.40 |   95.82 | Harvesting is going on in a full swing.                                                                                                                                             |
|     | Total Crops        |  637.81 |  680.18 |   81.69 |                                                                                                                                                                                     |
Source: Crops Division, DoA&amp;FW.",Minutes of the meeting of CWWG as on 20.04.2026_p1_c79
2026-04-27,"Sowing Stage | Sowing:  Rice : About 30.68 lakh ha area coverage under Summer Rice has been reported as compared to 32.31 lakh ha during the corresponding period of last year.
-
Pulses :  About 17.19 lakh ha area coverage has been reported compared to 15.93 lakh ha during the corresponding period of last year.
-
Oilseeds :  About 9.21 lakh ha area coverage has been reported compared to 7.71 lakh ha during the corresponding period of last year.
| Progress of Area coverage under Summer crops as on 24.04.2026 (In lakh hectare)   | Progress of Area coverage under Summer crops as on 24.04.2026 (In lakh hectare)   | Progress of Area coverage under Summer crops as on 24.04.2026 (In lakh hectare)   | Progress of Area coverage under Summer crops as on 24.04.2026 (In lakh hectare)   | Progress of Area coverage under Summer crops as on 24.04.2026 (In lakh hectare)   | Progress of Area coverage under Summer crops as on 24.04.2026 (In lakh hectare)   | Progress of Area coverage under Summer crops as on 24.04.2026 (In lakh hectare)   |
|-----------------------------------------------------------------------------------|-----------------------------------------------------------------------------------|-----------------------------------------------------------------------------------|-----------------------------------------------------------------------------------|-----------------------------------------------------------------------------------|-----------------------------------------------------------------------------------|-----------------------------------------------------------------------------------|
| Sl. No.                                                                           | Crops                                                                             | Normal Summer Area (DES)*                                                         | Final Summer Area 2025                                                            | Area Sown                                                                         | Area Sown                                                                         | Increase/ Decrease over corresponding period of Last year                         |
| Sl. No.                                                                           | Crops                                                                             | Normal Summer Area (DES)*                                                         | Final Summer Area 2025                                                            | Current Year (2026)                                                               | Corresponding period of Last Year (2025)                                          | Increase/ Decrease over corresponding period of Last year                         |
| 1                                                                                 | Rice                                                                              | 31.49                                                                             | 33.28                                                                             | 30.68                                                                             | 32.31                                                                             |
1.63                                                                             |
| 2                                                                                 | Pulses                                                                            | 23.40                                                                             | 27.07                                                                             | 17.19                                                                             | 15.93                                                                             | 1.26                                                                              |
| a                                                                                 | Greengram                                                                         | 20.44                                                                             | 23.49                                                                             | 13.17                                                                             | 12.99                                                                             | 0.18                                                                              |
| b                                                                                 | Blackgram                                                                         | 2.96                                                                              | 3.26                                                                              | 3.72                                                                              | 2.75                                                                              | 0.96                                                                              |
| c                                                                                 | Other Pulses                                                                      | 0.00                                                                              |
| 0.30                                                                              | 0.18                                                                              | 0.12                                                                              |
| 3                                                                                 | Shree Anna cum Coarse Cereals                                                     | 12.08                                                                             | 14.06                                                                             | 15.21                                                                             | 14.25                                                                             | 0.97                                                                              |
| a                                                                                 | Jowar                                                                             | 0.34                                                                              | 0.36                                                                              | 0.37                                                                              | 0.36                                                                              | 0.01                                                                              |
| b                                                                                 | Bajra                                                                             | 4.43                                                                              | 5.20                                                                              | 5.10                                                                              | 5.20                                                                              |
0.10                                                                             |
| c                                                                                 | Ragi                                                                              | 0.31                                                                              |
| 0.22                                                                              | 0.16                                                                              | 0.06                                                                              |
| d                                                                                 | Small Millets                                                                     | 0.02                                                                              |
| 0.03                                                                              | 0.03                                                                              | 0.00                                                                              |
| e                                                                                 | Maize                                                                             | 6.98                                                                              | 8.50                                                                              | 9.50                                                                              | 8.50                                                                              | 1.00                                                                              |
| 4                                                                                 | Oilseeds                                                                          | 8.40                                                                              | 9.51                                                                              | 9.21                                                                              | 7.71                                                                              | 1.50                                                                              |
| a                                                                                 | Groundnut                                                                         | 3.40                                                                              | 4.20                                                                              | 5.51                                                                              | 4.20                                                                              | 1.31                                                                              |
| b                                                                                 | Sunflower                                                                         | 0.34                                                                              | 0.35                                                                              | 0.39                                                                              | 0.35                                                                              | 0.04                                                                              |
| c                                                                                 | Sesamum                                                                           | 4.66                                                                              | 4.96                                                                              | 3.25                                                                              | 3.09                                                                              | 0.16                                                                              |
| d                                                                                 | Other Oilseeds                                                                    | 0.00                                                                              |
| 0.06                                                                              | 0.06                                                                              |
0.01                                                                             |
| Total                                                                             | Total                                                                             | 75.37                                                                             | 83.92                                                                             | 72.30                                                                             | 70.19                                                                             | 2.11                                                                              |
* Normal area from 2022-23 to 2024-25.
Source: Crop Division, DoA&amp;FW, MoA&amp;FW",Minutes of the meeting of CWWG as on 27.04.2026_p1_c5
2026-04-27,"Harvesting Stage | Harvest: | g  | Other Oilseeds |   0.00 |   0.40 |  99.11 | Harvesting is going on in afull swing.                                                                                                                                                  |
|    | Total Crops    | 637.81 | 680.18 |  92.62 |                                                                                                                                                                                         |
Source: Crops Division, DoA&amp;FW.",Minutes of the meeting of CWWG as on 27.04.2026_p1_c83
2026-05-04,"Sowing Stage | Sowing:  Rice : About 31.05 lakh ha area coverage under Summer Rice has been reported as compared to 32.42 lakh ha during the corresponding period of last year.
-
Pulses : About 23.49 lakh ha area coverage has been reported compared to 22.76 lakh ha during the corresponding period of last year.
-
Oilseeds : About 11.04 lakh ha area coverage has been reported compared to 9.58 lakh ha during the corresponding period of last year.
| Progress of Area coverage under Summer crops as on 01.05.2026   | Progress of Area coverage under Summer crops as on 01.05.2026   | Progress of Area coverage under Summer crops as on 01.05.2026   | Progress of Area coverage under Summer crops as on 01.05.2026   | Progress of Area coverage under Summer crops as on 01.05.2026   | Progress of Area coverage under Summer crops as on 01.05.2026   | Progress of Area coverage under Summer crops as on 01.05.2026                |
|-----------------------------------------------------------------|-----------------------------------------------------------------|-----------------------------------------------------------------|-----------------------------------------------------------------|-----------------------------------------------------------------|-----------------------------------------------------------------|------------------------------------------------------------------------------|
| Sl. No.                                                         | Crops                                                           | Normal Summer Area (DES)*                                       | Final Summer Area 2025                                          | Area Sown                                                       | Area Sown                                                       | ( In lakh hectare) Increase/ Decrease over corresponding period of Last year |
| Sl. No.                                                         | Crops                                                           | Normal Summer Area (DES)*                                       | Final Summer Area 2025                                          | Current Year (2026)                                             | Corresponding period of Last Year (2025)                        | ( In lakh hectare) Increase/ Decrease over corresponding period of Last year |
| 1                                                               | Rice                                                            | 31.49                                                           | 33.28                                                           | 31.05                                                           | 32.42                                                           |
1.36                                                                        |
| 2                                                               | Pulses                                                          | 23.40                                                           | 27.07                                                           | 23.49                                                           | 22.76                                                           | 0.73                                                                         |
| a                                                               | Greengram                                                       | 20.44                                                           | 23.49                                                           | 18.99                                                           | 19.00                                                           |
0.01                                                                        |
| b                                                               | Blackgram                                                       | 2.96                                                            | 3.26                                                            | 4.20                                                            | 3.58                                                            | 0.62                                                                         |
| c                                                               | Other Pulses                                                    | 0.00                                                            |
| 0.30                                                            | 0.19                                                            | 0.11                                                                         |
| 3                                                               | Shree Anna cum Coarse Cereals                                   | 12.08                                                           | 14.06                                                           | 16.01                                                           | 14.25                                                           | 1.77                                                                         |
| a                                                               | Jowar                                                           | 0.34                                                            | 0.36                                                            | 0.37                                                            | 0.36                                                            | 0.01                                                                         |
| b                                                               | Bajra                                                           | 4.43                                                            | 5.20                                                            | 5.40                                                            | 5.20                                                            | 0.20                                                                         |
| c                                                               | Ragi                                                            | 0.31                                                            |
| 0.22                                                            | 0.16                                                            | 0.06                                                                         |
| d                                                               | Small Millets                                                   | 0.02                                                            |
| 0.03                                                            | 0.03                                                            | 0.00                                                                         |
| e                                                               | Maize                                                           | 6.98                                                            | 8.50                                                            | 10.00                                                           | 8.50                                                            | 1.50                                                                         |
| 4                                                               | Oilseeds                                                        | 8.40                                                            | 9.51                                                            | 11.04                                                           | 9.58                                                            | 1.47                                                                         |
| a                                                               | Groundnut                                                       | 3.40                                                            | 4.20                                                            | 5.51                                                            | 4.20                                                            | 1.31                                                                         |
| b                                                                            | Sunflower                                                                    | 0.34                                                                         | 0.35                                                                         | 0.39                                                                         | 0.35                                                                         | 0.04                                                                         |
|------------------------------------------------------------------------------|------------------------------------------------------------------------------|------------------------------------------------------------------------------|------------------------------------------------------------------------------|------------------------------------------------------------------------------|------------------------------------------------------------------------------|------------------------------------------------------------------------------|
| c                                                                            | Sesamum                                                                      | 4.66                                                                         | 4.96                                                                         | 5.07                                                                         | 4.96                                                                         | 0.11                                                                         |
| d                                                                            | Other Oilseeds                                                               | 0.00                                                                         |
| 0.07                                                                         | 0.06                                                                         | 0.00                                                                         |
| Total                                                                        | Total                                                                        | 75.37                                                                        | 83.92                                                                        | 81.59                                                                        | 79.00                                                                        | 2.60                                                                         |
| * Normal area from 2022-23 to 2024-25. Source: Crop Division, DoA&FW, MoA&FW | * Normal area from 2022-23 to 2024-25. Source: Crop Division, DoA&FW, MoA&FW | * Normal area from 2022-23 to 2024-25. Source: Crop Division, DoA&FW, MoA&FW | * Normal area from 2022-23 to 2024-25. Source: Crop Division, DoA&FW, MoA&FW | * Normal area from 2022-23 to 2024-25. Source: Crop Division, DoA&FW, MoA&FW | * Normal area from 2022-23 to 2024-25. Source: Crop Division, DoA&FW, MoA&FW | * Normal area from 2022-23 to 2024-25. Source: Crop Division, DoA&FW, MoA&FW |",Minutes of the meeting of CWWG as on 04.05.2026_p1_c6
2026-05-04,"Harvesting Stage | Harvest: | f   | Linseed            |    1.93 |    1.99 |  100.00 | 100% harvested in all states.                                                                                                                                                       |
| g   | Other Oilseeds     |    0.00 |    0.40 |   99.11 | Harvesting is going on in afull swing.                                                                                                                                              |
|     | Total Crops        |  637.81 |  680.18 |   95.25 |                                                                                                                                                                                     |
Source: Crops Division, DoA&amp;FW.",Minutes of the meeting of CWWG as on 04.05.2026_p1_c51
